GENE	ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	gene_names
AR	BP	GO:0030520	intracellular estrogen receptor signaling pathway	Mar-29	54/18614	7.99E-05	0.00221531	0.001177497	367/2099/6714	3	AR/ESR1/SRC
AR	BP	GO:0030522	intracellular receptor signaling pathway	May-29	299/18614	8.95E-05	0.002336435	0.001241878	367/2033/2099/3065/6714	5	AR/EP300/ESR1/HDAC1/SRC
AR	BP	GO:2000630	positive regulation of miRNA metabolic process	Mar-29	60/18614	1.10E-04	0.002566918	0.001364386	367/4088/7157	3	AR/SMAD3/TP53
AR	BP	GO:0060736	prostate gland growth	Feb-29	11/18614	1.28E-04	0.002908472	0.001545931	367/2099	2	AR/ESR1
AR	BP	GO:0048545	response to steroid hormone	May-29	339/18614	1.61E-04	0.003257009	0.001731188	367/2033/2099/3065/6714	5	AR/EP300/ESR1/HDAC1/SRC
AR	BP	GO:0043627	response to estrogen	Mar-29	70/18614	1.74E-04	0.00341922	0.001817407	367/2033/2099	3	AR/EP300/ESR1
AR	BP	GO:0061138	morphogenesis of a branching epithelium	Apr-29	188/18614	1.96E-04	0.003691252	0.001961999	367/2099/2885/6714	4	AR/ESR1/GRB2/SRC
AR	BP	GO:0001763	morphogenesis of a branching structure	Apr-29	203/18614	2.63E-04	0.004433918	0.002356747	367/2099/2885/6714	4	AR/ESR1/GRB2/SRC
AR	BP	GO:2000241	regulation of reproductive process	Apr-29	206/18614	2.79E-04	0.004593103	0.002441358	367/246184/2099/6714	4	AR/CDC26/ESR1/SRC
AR	BP	GO:0071391	cellular response to estrogen stimulus	Feb-29	18/18614	3.53E-04	0.005140322	0.002732219	367/2099	2	AR/ESR1
AR	BP	GO:0097191	extrinsic apoptotic signaling pathway	Apr-29	227/18614	4.03E-04	0.005609047	0.002981359	367/9821/4088/6714	4	AR/RB1CC1/SMAD3/SRC
AR	BP	GO:0060749	mammary gland alveolus development	Feb-29	20/18614	4.38E-04	0.005893251	0.003132421	367/2099	2	AR/ESR1
AR	BP	GO:0061377	mammary gland lobule development	Feb-29	20/18614	4.38E-04	0.005893251	0.003132421	367/2099	2	AR/ESR1
AR	BP	GO:0003002	regionalization	May-29	422/18614	4.43E-04	0.005919313	0.003146274	367/2033/4087/4088/7157	5	AR/EP300/SMAD2/SMAD3/TP53
AR	BP	GO:2001237	negative regulation of extrinsic apoptotic signaling pathway	Mar-29	99/18614	4.82E-04	0.006234977	0.003314057	367/9821/6714	3	AR/RB1CC1/SRC
AR	BP	GO:0042659	regulation of cell fate specification	Feb-29	25/18614	6.88E-04	0.007825603	0.004159518	367/3065	2	AR/HDAC1
AR	BP	GO:0007389	pattern specification process	May-29	467/18614	7.02E-04	0.007936074	0.004218236	367/2033/4087/4088/7157	5	AR/EP300/SMAD2/SMAD3/TP53
AR	BP	GO:0060740	prostate gland epithelium morphogenesis	Feb-29	26/18614	7.44E-04	0.008126193	0.00431929	367/2099	2	AR/ESR1
AR	BP	GO:0051091	positive regulation of DNA-binding transcription factor activity	Apr-29	271/18614	7.83E-04	0.008440626	0.004486419	367/2033/2099/4088	4	AR/EP300/ESR1/SMAD3
AR	BP	GO:0060512	prostate gland morphogenesis	Feb-29	28/18614	8.64E-04	0.0089494	0.004756846	367/2099	2	AR/ESR1
AR	BP	GO:0045165	cell fate commitment	Apr-29	281/18614	8.97E-04	0.00907924	0.00482586	367/3065/4087/7157	4	AR/HDAC1/SMAD2/TP53
AR	BP	GO:0022612	gland morphogenesis	Mar-29	123/18614	9.07E-04	0.00907924	0.00482586	367/2099/6714	3	AR/ESR1/SRC
AR	BP	GO:0033146	regulation of intracellular estrogen receptor signaling pathway	Feb-29	35/18614	0.001350728	0.011549078	0.006138645	367/6714	2	AR/SRC
AR	BP	GO:0035264	multicellular organism growth	Mar-29	145/18614	0.001458362	0.012274545	0.00652425	367/2033/7157	3	AR/EP300/TP53
AR	BP	GO:0060562	epithelial tube morphogenesis	Apr-29	334/18614	0.001696541	0.013439265	0.00714333	367/2099/4088/6714	4	AR/ESR1/SMAD3/SRC
AR	BP	GO:2001236	regulation of extrinsic apoptotic signaling pathway	Mar-29	156/18614	0.001797997	0.014036539	0.007460797	367/9821/6714	3	AR/RB1CC1/SRC
AR	BP	GO:0048754	branching morphogenesis of an epithelial tube	Mar-29	157/18614	0.001831111	0.014226325	0.007561674	367/2099/6714	3	AR/ESR1/SRC
AR	BP	GO:0010453	regulation of cell fate commitment	Feb-29	42/18614	0.001941427	0.014939743	0.007940874	367/3065	2	AR/HDAC1
AR	BP	GO:0048806	genitalia development	Feb-29	47/18614	0.002425771	0.017422423	0.009260485	367/2099	2	AR/ESR1
AR	BP	GO:0030850	prostate gland development	Feb-29	48/18614	0.0025288	0.017962061	0.009547318	367/2099	2	AR/ESR1
AR	BP	GO:0035265	organ growth	Mar-29	180/18614	0.002700744	0.018893519	0.010042412	367/2099/4087	3	AR/ESR1/SMAD2
AR	BP	GO:0060688	regulation of morphogenesis of a branching structure	Feb-29	51/18614	0.002850098	0.019270953	0.010243029	367/2099	2	AR/ESR1
AR	BP	GO:0060135	maternal process involved in female pregnancy	Feb-29	61/18614	0.00405151	0.024012739	0.012763415	367/2099	2	AR/ESR1
AR	BP	GO:1901654	response to ketone	Mar-29	208/18614	0.004056608	0.024012739	0.012763415	367/978/6714	3	AR/CDA/SRC
AR	BP	GO:0002064	epithelial cell development	Mar-29	210/18614	0.004166641	0.024484695	0.013014272	367/2099/6714	3	AR/ESR1/SRC
AR	BP	GO:1905330	regulation of morphogenesis of an epithelium	Feb-29	65/18614	0.004587294	0.025829504	0.013729074	367/2099	2	AR/ESR1
AR	BP	GO:0001655	urogenital system development	Feb-29	66/18614	0.004726096	0.026518648	0.014095373	367/2099	2	AR/ESR1
AR	BP	GO:0048645	animal organ formation	Feb-29	68/18614	0.005009484	0.027723717	0.0147359	367/5594	2	AR/MAPK1
AR	BP	GO:0008406	gonad development	Mar-29	228/18614	0.005239432	0.028508155	0.015152849	367/2099/6714	3	AR/ESR1/SRC
AR	BP	GO:0045137	development of primary sexual characteristics	Mar-29	233/18614	0.005564295	0.029569806	0.015717146	367/2099/6714	3	AR/ESR1/SRC
AR	BP	GO:0051090	regulation of DNA-binding transcription factor activity	Apr-29	465/18614	0.005565604	0.029569806	0.015717146	367/2033/2099/4088	4	AR/EP300/ESR1/SMAD3
AR	BP	GO:0050673	epithelial cell proliferation	Apr-29	488/18614	0.006590616	0.032871717	0.0174722	367/2099/5594/4088	4	AR/ESR1/MAPK1/SMAD3
AR	BP	GO:2000243	positive regulation of reproductive process	Feb-29	87/18614	0.008077782	0.037403141	0.019880773	367/6714	2	AR/SRC
AR	BP	GO:0007548	sex differentiation	Mar-29	283/18614	0.00948657	0.042466197	0.022571923	367/2099/6714	3	AR/ESR1/SRC
AR	BP	GO:0048608	reproductive structure development	Mar-29	301/18614	0.011209976	0.047546773	0.025272386	367/2099/6714	3	AR/ESR1/SRC
AR	BP	GO:0061458	reproductive system development	Mar-29	305/18614	0.011616029	0.049011756	0.026051064	367/2099/6714	3	AR/ESR1/SRC
AR	MF	GO:0061629	RNA polymerase II-specific DNA-binding transcription factor binding	Sep-32	348/18369	5.42E-09	9.45E-07	4.03E-07	367/1387/2033/2099/3065/4087/4088/6714/7157	9	AR/CREBBP/EP300/ESR1/HDAC1/SMAD2/SMAD3/SRC/TP53
AR	MF	GO:0001223	transcription coactivator binding	May-32	43/18369	1.06E-08	9.45E-07	4.03E-07	367/1387/2033/2099/4088	5	AR/CREBBP/EP300/ESR1/SMAD3
AR	MF	GO:0001221	transcription coregulator binding	Jun-32	111/18369	3.39E-08	2.01E-06	8.56E-07	367/1387/2033/2099/3065/4088	6	AR/CREBBP/EP300/ESR1/HDAC1/SMAD3
AR	MF	GO:0140297	DNA-binding transcription factor binding	Sep-32	478/18369	8.36E-08	3.72E-06	1.58E-06	367/1387/2033/2099/3065/4087/4088/6714/7157	9	AR/CREBBP/EP300/ESR1/HDAC1/SMAD2/SMAD3/SRC/TP53
AR	MF	GO:0001091	RNA polymerase II general transcription initiation factor binding	Mar-32	26/18369	1.22E-05	3.37E-04	1.43E-04	367/2099/7157	3	AR/ESR1/TP53
AR	MF	GO:0008013	beta-catenin binding	Apr-32	88/18369	1.60E-05	3.37E-04	1.43E-04	367/2033/2099/4088	4	AR/EP300/ESR1/SMAD3
AR	MF	GO:0140296	general transcription initiation factor binding	Mar-32	53/18369	1.06E-04	0.001348122	5.74E-04	367/2099/7157	3	AR/ESR1/TP53
AR	MF	GO:0001098	basal transcription machinery binding	Mar-32	61/18369	1.61E-04	0.001689597	7.19E-04	367/2099/7157	3	AR/ESR1/TP53
AR	MF	GO:0001099	basal RNA polymerase II transcription machinery binding	Mar-32	61/18369	1.61E-04	0.001689597	7.19E-04	367/2099/7157	3	AR/ESR1/TP53
AR	MF	GO:0051117	ATPase binding	Mar-32	86/18369	4.45E-04	0.003776103	0.001607803	367/2099/6714	3	AR/ESR1/SRC
AR	MF	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	May-32	468/18369	0.001198605	0.007136975	0.003038807	367/2099/4087/4088/7157	5	AR/ESR1/SMAD2/SMAD3/TP53
AR	MF	GO:0001216	DNA-binding transcription activator activity	May-32	472/18369	0.001244795	0.007145292	0.003042348	367/2099/4087/4088/7157	5	AR/ESR1/SMAD2/SMAD3/TP53
AR	MF	GO:0004879	nuclear receptor activity	Feb-32	46/18369	0.002900871	0.010757398	0.004580323	367/2099	2	AR/ESR1
AR	MF	GO:0098531	ligand-activated transcription factor activity	Feb-32	46/18369	0.002900871	0.010757398	0.004580323	367/2099	2	AR/ESR1
AR	MF	GO:0005496	steroid binding	Feb-32	99/18369	0.012838451	0.037463021	0.015951139	367/2099	2	AR/ESR1
AR	NA	hsa05215	Prostate cancer	Jul-22	98/8848	2.45E-09	9.58E-08	3.56E-08	367/1026/1387/2033/2885/5594/7157	7	AR/CDKN1A/CREBBP/EP300/GRB2/MAPK1/TP53
AR	NA	hsa05207	Chemical carcinogenesis - receptor activation	May-22	215/8848	1.52E-04	7.46E-04	2.78E-04	367/2099/2885/5594/6714	5	AR/ESR1/GRB2/MAPK1/SRC
AR	NA	hsa04114	Oocyte meiosis	Apr-22	139/8848	3.42E-04	0.001429688	5.32E-04	367/246184/5594/7532	4	AR/CDC26/MAPK1/YWHAG
AR	NA	hsa05215	Prostate cancer	Jul-22	98/8848	2.45E-09	9.58E-08	3.56E-08	367/1026/1387/2033/2885/5594/7157	7	AR/CDKN1A/CREBBP/EP300/GRB2/MAPK1/TP53
AR	NA	hsa05207	Chemical carcinogenesis - receptor activation	May-22	215/8848	1.52E-04	7.46E-04	2.78E-04	367/2099/2885/5594/6714	5	AR/ESR1/GRB2/MAPK1/SRC
AR	NA	hsa04114	Oocyte meiosis	Apr-22	139/8848	3.42E-04	0.001429688	5.32E-04	367/246184/5594/7532	4	AR/CDC26/MAPK1/YWHAG
BNIP1	BP	GO:0097194	execution phase of apoptosis	Feb-29	87/18614	0.008077782	0.037403141	0.019880773	662/7157	2	BNIP1/TP53
BOLA2	BP	GO:0051604	protein maturation	Apr-29	332/18614	0.00165965	0.013354479	0.007098264	552900/1387/2033/6714	4	BOLA2/CREBBP/EP300/SRC
BTN3A1	BP	GO:0002757	immune response-activating signaling pathway	Aug-29	423/18614	1.88E-07	3.38E-05	1.79E-05	11119/1387/2033/2099/2534/2885/5594/6714	8	BTN3A1/CREBBP/EP300/ESR1/FYN/GRB2/MAPK1/SRC
BTN3A1	BP	GO:0002764	immune response-regulating signaling pathway	Aug-29	450/18614	3.01E-07	4.37E-05	2.32E-05	11119/1387/2033/2099/2534/2885/5594/6714	8	BTN3A1/CREBBP/EP300/ESR1/FYN/GRB2/MAPK1/SRC
BTN3A1	BP	GO:0002429	immune response-activating cell surface receptor signaling pathway	Jul-29	302/18614	3.17E-07	4.37E-05	2.32E-05	11119/1387/2033/2534/2885/5594/6714	7	BTN3A1/CREBBP/EP300/FYN/GRB2/MAPK1/SRC
BTN3A1	BP	GO:0002768	immune response-regulating cell surface receptor signaling pathway	Jul-29	329/18614	5.65E-07	7.02E-05	3.73E-05	11119/1387/2033/2534/2885/5594/6714	7	BTN3A1/CREBBP/EP300/FYN/GRB2/MAPK1/SRC
BTN3A1	BP	GO:0002253	activation of immune response	Aug-29	495/18614	6.20E-07	7.16E-05	3.81E-05	11119/1387/2033/2099/2534/2885/5594/6714	8	BTN3A1/CREBBP/EP300/ESR1/FYN/GRB2/MAPK1/SRC
BTN3A1	BP	GO:0070661	leukocyte proliferation	May-29	348/18614	1.82E-04	0.003463376	0.001840877	11119/1026/2534/5594/7157	5	BTN3A1/CDKN1A/FYN/MAPK1/TP53
BTN3A1	BP	GO:0050851	antigen receptor-mediated signaling pathway	Apr-29	201/18614	2.54E-04	0.004314593	0.002293322	11119/2534/2885/5594	4	BTN3A1/FYN/GRB2/MAPK1
BTN3A1	BP	GO:0046651	lymphocyte proliferation	Apr-29	306/18614	0.001229728	0.011040225	0.005868176	11119/1026/2534/7157	4	BTN3A1/CDKN1A/FYN/TP53
BTN3A1	BP	GO:0050852	T cell receptor signaling pathway	Mar-29	140/18614	0.001318524	0.01145556	0.006088937	11119/2534/5594	3	BTN3A1/FYN/MAPK1
BTN3A1	BP	GO:0032943	mononuclear cell proliferation	Apr-29	313/18614	0.001336677	0.011549078	0.006138645	11119/1026/2534/7157	4	BTN3A1/CDKN1A/FYN/TP53
BTN3A1	BP	GO:0050798	activated T cell proliferation	Feb-29	48/18614	0.0025288	0.017962061	0.009547318	11119/2534	2	BTN3A1/FYN
BTN3A1	BP	GO:0042098	T cell proliferation	Mar-29	213/18614	0.004335086	0.0249306	0.013251283	11119/2534/7157	3	BTN3A1/FYN/TP53
CDA	BP	GO:0030308	negative regulation of cell growth	Apr-29	191/18614	2.09E-04	0.003876813	0.00206063	978/1026/4088/7157	4	CDA/CDKN1A/SMAD3/TP53
CDA	BP	GO:0006206	pyrimidine nucleobase metabolic process	Feb-29	15/18614	2.43E-04	0.004222673	0.002244464	978/5594	2	CDA/MAPK1
CDA	BP	GO:0006140	regulation of nucleotide metabolic process	Mar-29	94/18614	4.14E-04	0.005722622	0.003041727	978/2033/7157	3	CDA/EP300/TP53
CDA	BP	GO:0001558	regulation of cell growth	May-29	420/18614	4.34E-04	0.005893251	0.003132421	978/1026/1457/4088/7157	5	CDA/CDKN1A/CSNK2A1/SMAD3/TP53
CDA	BP	GO:0045926	negative regulation of growth	Apr-29	252/18614	5.97E-04	0.007092315	0.003769756	978/1026/4088/7157	4	CDA/CDKN1A/SMAD3/TP53
CDA	BP	GO:0062014	negative regulation of small molecule metabolic process	Mar-29	107/18614	6.05E-04	0.007094243	0.003770781	978/2033/7157	3	CDA/EP300/TP53
CDA	BP	GO:0045980	negative regulation of nucleotide metabolic process	Feb-29	25/18614	6.88E-04	0.007825603	0.004159518	978/7157	2	CDA/TP53
CDA	BP	GO:0071216	cellular response to biotic stimulus	Apr-29	264/18614	7.11E-04	0.007973549	0.004238155	978/5594/6714/7157	4	CDA/MAPK1/SRC/TP53
CDA	BP	GO:0016049	cell growth	May-29	495/18614	9.13E-04	0.00907924	0.00482586	978/1026/1457/4088/7157	5	CDA/CDKN1A/CSNK2A1/SMAD3/TP53
CDA	BP	GO:0009112	nucleobase metabolic process	Feb-29	34/18614	0.001274773	0.011135312	0.005918717	978/5594	2	CDA/MAPK1
CDA	BP	GO:0071496	cellular response to external stimulus	Apr-29	327/18614	0.001569882	0.012877816	0.006844905	978/1026/5594/7157	4	CDA/CDKN1A/MAPK1/TP53
CDA	BP	GO:0062012	regulation of small molecule metabolic process	Apr-29	331/18614	0.001641417	0.013354479	0.007098264	978/2033/6714/7157	4	CDA/EP300/SRC/TP53
CDA	BP	GO:1901654	response to ketone	Mar-29	208/18614	0.004056608	0.024012739	0.012763415	367/978/6714	3	AR/CDA/SRC
CDA	BP	GO:0045936	negative regulation of phosphate metabolic process	Apr-29	439/18614	0.004543022	0.025759729	0.013691987	978/1026/7157/7532	4	CDA/CDKN1A/TP53/YWHAG
CDA	BP	GO:0010563	negative regulation of phosphorus metabolic process	Apr-29	440/18614	0.004579782	0.025829504	0.013729074	978/1026/7157/7532	4	CDA/CDKN1A/TP53/YWHAG
CDA	BP	GO:0097305	response to alcohol	Mar-29	252/18614	0.006908455	0.034036777	0.01809146	978/2534/4087	3	CDA/FYN/SMAD2
CDA	BP	GO:0072527	pyrimidine-containing compound metabolic process	Feb-29	83/18614	0.007376253	0.035266347	0.01874501	978/5594	2	CDA/MAPK1
CDA	MF	GO:0019239	deaminase activity	Feb-32	32/18369	0.001411467	0.007389446	0.003146304	23536/978	2	ADAT1/CDA
CDA	MF	GO:0016810	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds	Mar-32	131/18369	0.001511415	0.007686625	0.003272839	23536/978/3065	3	ADAT1/CDA/HDAC1
CDA	MF	GO:0016814	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amidines	Feb-32	35/18369	0.001687683	0.008147008	0.003468862	23536/978	2	ADAT1/CDA
CDC26	BP	GO:2000241	regulation of reproductive process	Apr-29	206/18614	2.79E-04	0.004593103	0.002441358	367/246184/2099/6714	4	AR/CDC26/ESR1/SRC
CDC26	BP	GO:0033044	regulation of chromosome organization	Mar-29	250/18614	0.006758672	0.033503111	0.017807803	246184/5594/6714	3	CDC26/MAPK1/SRC
CDC26	NA	hsa04110	Cell cycle	Sep-22	158/8848	5.99E-11	1.00E-08	3.72E-09	246184/1026/1387/2033/3065/4087/4088/7157/7532	9	CDC26/CDKN1A/CREBBP/EP300/HDAC1/SMAD2/SMAD3/TP53/YWHAG
CDC26	NA	hsa05166	Human T-cell leukemia virus 1 infection	Aug-22	223/8848	3.39E-08	7.07E-07	2.63E-07	246184/1026/1387/2033/5594/4087/4088/7157	8	CDC26/CDKN1A/CREBBP/EP300/MAPK1/SMAD2/SMAD3/TP53
CDC26	NA	hsa04114	Oocyte meiosis	Apr-22	139/8848	3.42E-04	0.001429688	5.32E-04	367/246184/5594/7532	4	AR/CDC26/MAPK1/YWHAG
CDC26	NA	hsa04110	Cell cycle	Sep-22	158/8848	5.99E-11	1.00E-08	3.72E-09	246184/1026/1387/2033/3065/4087/4088/7157/7532	9	CDC26/CDKN1A/CREBBP/EP300/HDAC1/SMAD2/SMAD3/TP53/YWHAG
CDC26	NA	hsa05166	Human T-cell leukemia virus 1 infection	Aug-22	223/8848	3.39E-08	7.07E-07	2.63E-07	246184/1026/1387/2033/5594/4087/4088/7157	8	CDC26/CDKN1A/CREBBP/EP300/MAPK1/SMAD2/SMAD3/TP53
CDC26	NA	hsa04114	Oocyte meiosis	Apr-22	139/8848	3.42E-04	0.001429688	5.32E-04	367/246184/5594/7532	4	AR/CDC26/MAPK1/YWHAG
CDKN1A	BP	GO:0097193	intrinsic apoptotic signaling pathway	Jun-29	301/18614	5.91E-06	3.67E-04	1.95E-04	1026/1984/2033/3065/6714/7157	6	CDKN1A/EIF5A/EP300/HDAC1/SRC/TP53
CDKN1A	BP	GO:0072332	intrinsic apoptotic signaling pathway by p53 class mediator	Apr-29	83/18614	8.02E-06	4.18E-04	2.22E-04	1026/1984/2033/7157	4	CDKN1A/EIF5A/EP300/TP53
CDKN1A	BP	GO:0071478	cellular response to radiation	May-29	191/18614	1.05E-05	4.97E-04	2.64E-04	1026/1387/2033/2885/7157	5	CDKN1A/CREBBP/EP300/GRB2/TP53
CDKN1A	BP	GO:0034644	cellular response to UV	Apr-29	93/18614	1.26E-05	5.62E-04	2.99E-04	1026/1387/2033/7157	4	CDKN1A/CREBBP/EP300/TP53
CDKN1A	BP	GO:2000279	negative regulation of DNA biosynthetic process	Mar-29	37/18614	2.55E-05	9.58E-04	5.09E-04	1026/6714/7157	3	CDKN1A/SRC/TP53
CDKN1A	BP	GO:2000278	regulation of DNA biosynthetic process	Apr-29	121/18614	3.56E-05	0.001223397	6.50E-04	1026/5594/6714/7157	4	CDKN1A/MAPK1/SRC/TP53
CDKN1A	BP	GO:0071482	cellular response to light stimulus	Apr-29	127/18614	4.30E-05	0.001422587	7.56E-04	1026/1387/2033/7157	4	CDKN1A/CREBBP/EP300/TP53
CDKN1A	BP	GO:0042771	intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator	Mar-29	44/18614	4.31E-05	0.001422587	7.56E-04	1026/2033/7157	3	CDKN1A/EP300/TP53
CDKN1A	BP	GO:2000377	regulation of reactive oxygen species metabolic process	Apr-29	150/18614	8.23E-05	0.00221531	0.001177497	1026/2534/2885/7157	4	CDKN1A/FYN/GRB2/TP53
CDKN1A	BP	GO:0009411	response to UV	Apr-29	154/18614	9.11E-05	0.002336435	0.001241878	1026/1387/2033/7157	4	CDKN1A/CREBBP/EP300/TP53
CDKN1A	BP	GO:0034504	protein localization to nucleus	May-29	304/18614	9.68E-05	0.002443574	0.001298825	1026/2534/4088/6714/7157	5	CDKN1A/FYN/SMAD3/SRC/TP53
CDKN1A	BP	GO:0072331	signal transduction by p53 class mediator	Apr-29	173/18614	1.43E-04	0.003117301	0.001656929	1026/1984/2033/7157	4	CDKN1A/EIF5A/EP300/TP53
CDKN1A	BP	GO:0071214	cellular response to abiotic stimulus	May-29	339/18614	1.61E-04	0.003257009	0.001731188	1026/1387/2033/2885/7157	5	CDKN1A/CREBBP/EP300/GRB2/TP53
CDKN1A	BP	GO:0104004	cellular response to environmental stimulus	May-29	339/18614	1.61E-04	0.003257009	0.001731188	1026/1387/2033/2885/7157	5	CDKN1A/CREBBP/EP300/GRB2/TP53
CDKN1A	BP	GO:2000379	positive regulation of reactive oxygen species metabolic process	Mar-29	70/18614	1.74E-04	0.00341922	0.001817407	1026/2885/7157	3	CDKN1A/GRB2/TP53
CDKN1A	BP	GO:0070661	leukocyte proliferation	May-29	348/18614	1.82E-04	0.003463376	0.001840877	11119/1026/2534/5594/7157	5	BTN3A1/CDKN1A/FYN/MAPK1/TP53
CDKN1A	BP	GO:0030308	negative regulation of cell growth	Apr-29	191/18614	2.09E-04	0.003876813	0.00206063	978/1026/4088/7157	4	CDA/CDKN1A/SMAD3/TP53
CDKN1A	BP	GO:0071479	cellular response to ionizing radiation	Mar-29	75/18614	2.13E-04	0.003909723	0.002078123	1026/2885/7157	3	CDKN1A/GRB2/TP53
CDKN1A	BP	GO:0051098	regulation of binding	May-29	369/18614	2.39E-04	0.004206819	0.002236037	1026/2033/4087/4088/6714	5	CDKN1A/EP300/SMAD2/SMAD3/SRC
CDKN1A	BP	GO:0071897	DNA biosynthetic process	Apr-29	198/18614	2.39E-04	0.004206819	0.002236037	1026/5594/6714/7157	4	CDKN1A/MAPK1/SRC/TP53
CDKN1A	BP	GO:0090399	replicative senescence	Feb-29	17/18614	3.14E-04	0.004863024	0.002584828	1026/7157	2	CDKN1A/TP53
CDKN1A	BP	GO:0048145	regulation of fibroblast proliferation	Mar-29	87/18614	3.30E-04	0.004984416	0.002649351	1026/2099/7157	3	CDKN1A/ESR1/TP53
CDKN1A	BP	GO:0006977	DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest	Feb-29	18/18614	3.53E-04	0.005140322	0.002732219	1026/7157	2	CDKN1A/TP53
CDKN1A	BP	GO:0006978	DNA damage response, signal transduction by p53 class mediator resulting in transcription of p21 class mediator	Feb-29	18/18614	3.53E-04	0.005140322	0.002732219	1026/7157	2	CDKN1A/TP53
CDKN1A	BP	GO:0042772	DNA damage response, signal transduction resulting in transcription	Feb-29	19/18614	3.94E-04	0.005539882	0.002944596	1026/7157	2	CDKN1A/TP53
