gene_id	gene_name	gene_type	K	Kin	Kout	TypeI	TypeII	Weight	CT_Score	CT_Score_norm	beta_y	p_value	fdr	MR_Score	Gene_Effect	MR_Score_norm
ENSG00000004975	DVL2	protein_coding	47	19	28	0	1	2	94	0.157190635	NA	NA	NA	0	NA	NA
ENSG00000005007	UPF1	protein_coding	20	10	10	0	1	2	40	0.066889632	NA	NA	NA	0	NA	NA
ENSG00000005020	SKAP2	protein_coding	8	5	3	2	2	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000005073	HOXA11	protein_coding	4	2	2	1	2	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000005075	POLR2J	protein_coding	3	1	2	1	2	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000005102	MEOX1	protein_coding	3	2	1	0	1	2	6	0.010033445	NA	NA	NA	0	NA	NA
ENSG00000005156	LIG3	protein_coding	NA	NA	NA	NA	NA	NA	0	NA	12.62606634	0.143	0.55537	0	Risk	0
ENSG00000005339	CREBBP	protein_coding	273	153	120	0	1	2	546	0.913043478	NA	NA	NA	0	NA	NA
ENSG00000005421	PON1	protein_coding	3	2	1	1	2	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000005513	SOX8	protein_coding	18	11	7	0	1	2	36	0.060200669	NA	NA	NA	0	NA	NA
ENSG00000005810	MYCBP2	protein_coding	2	1	1	1	2	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000005844	ITGAL	protein_coding	6	0	6	2	0	1	6	0.010033445	NA	NA	NA	0	NA	NA
ENSG00000005882	PDK2	protein_coding	10	9	1	0	1	2	20	0.033444816	NA	NA	NA	0	NA	NA
ENSG00000005884	ITGA3	protein_coding	12	4	8	2	2	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000005961	ITGA2B	protein_coding	13	7	6	0	1	2	26	0.043478261	NA	NA	NA	0	NA	NA
ENSG00000006007	GDE1	protein_coding	4	2	2	2	2	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000006042	TMEM98	protein_coding	2	1	1	2	2	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000006118	TMEM132A	protein_coding	3	1	2	1	2	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000006125	AP2B1	protein_coding	25	9	16	0	1	2	50	0.08361204	NA	NA	NA	0	NA	NA
ENSG00000006128	TAC1	protein_coding	11	6	5	0	1	2	22	0.036789298	NA	NA	NA	0	NA	NA
ENSG00000006194	ZNF263	protein_coding	10	7	3	2	1	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000006282	SPATA20	protein_coding	NA	NA	NA	NA	NA	NA	0	NA	-27.09635015	0.126	0.53679	0	Preventive	0
ENSG00000006327	TNFRSF12A	protein_coding	6	0	6	2	0	1	6	0.010033445	NA	NA	NA	0	NA	NA
ENSG00000006451	RALA	protein_coding	19	16	3	2	1	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000006468	ETV1	protein_coding	10	7	3	2	1	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000006606	CCL26	protein_coding	2	1	1	1	2	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000006611	USH1C	protein_coding	4	1	3	2	2	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000006634	DBF4	protein_coding	7	1	6	2	2	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000006638	TBXA2R	protein_coding	12	5	7	1	2	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000006652	IFRD1	protein_coding	3	2	1	2	1	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000006704	GTF2IRD1	protein_coding	4	4	0	2	1	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000006744	ELAC2	protein_coding	8	4	4	2	1	0	0	0	7.592497326	0.14	0.55145	0	Risk	0
ENSG00000006747	SCIN	protein_coding	2	1	1	2	2	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000007047	MARK4	protein_coding	15	10	5	1	2	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000007168	PAFAH1B1	protein_coding	10	3	7	2	2	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000007171	NOS2	protein_coding	8	4	4	1	2	0	0	0	-20.15422263	0.467	0.83859	0	Preventive	0
ENSG00000007237	GAS7	protein_coding	2	1	1	1	2	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000007255	TRAPPC6A	protein_coding	2	1	1	2	1	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000007264	MATK	protein_coding	9	6	3	1	2	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000007312	CD79B	protein_coding	9	5	4	2	2	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000007314	SCN4A	protein_coding	7	6	1	1	2	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000007341	ST7L	protein_coding	NA	NA	NA	NA	NA	NA	0	NA	298.0706258	0.286	0.72808	0	Risk	0
ENSG00000007372	PAX6	protein_coding	31	20	11	0	1	2	62	0.10367893	NA	NA	NA	0	NA	NA
ENSG00000007392	LUC7L	protein_coding	2	1	1	1	2	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000007866	TEAD3	protein_coding	4	3	1	1	2	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000007908	SELE	protein_coding	12	1	11	2	2	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000008056	SYN1	protein_coding	20	12	8	2	2	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000008083	JARID2	protein_coding	2	2	0	1	2	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000008128	CDK11A	protein_coding	NA	NA	NA	NA	NA	NA	0	NA	81.06290478	0.513	0.85624	0	Risk	0
ENSG00000008130	NADK	protein_coding	4	2	2	1	2	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000008196	TFAP2B	protein_coding	7	5	2	2	1	0	0	0	-2.835254346	0.34	0.76234	0	Preventive	0
ENSG00000008256	CYTH3	protein_coding	4	2	2	1	2	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000008294	SPAG9	protein_coding	10	6	4	1	2	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000008300	CELSR3	protein_coding	11	0	11	2	0	1	11	0.018394649	NA	NA	NA	0	NA	NA
ENSG00000008405	CRY1	protein_coding	12	5	7	2	1	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000008441	NFIX	protein_coding	4	3	1	0	1	2	8	0.013377926	NA	NA	NA	0	NA	NA
ENSG00000008516	MMP25	protein_coding	2	1	1	1	2	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000008710	PKD1	protein_coding	22	13	9	1	2	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000008735	MAPK8IP2	protein_coding	38	15	23	0	1	2	76	0.127090301	NA	NA	NA	0	NA	NA
ENSG00000008838	MED24	protein_coding	10	7	3	2	1	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000009413	REV3L	protein_coding	2	1	1	1	2	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000009709	PAX7	protein_coding	1	1	0	2	1	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000009790	TRAF3IP3	protein_coding	2	1	1	1	2	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000009844	VTA1	protein_coding	13	4	9	0	1	2	26	0.043478261	NA	NA	NA	0	NA	NA
ENSG00000009950	MLXIPL	protein_coding	3	2	1	1	2	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000009954	BAZ1B	protein_coding	6	4	2	0	1	2	12	0.02006689	NA	NA	NA	0	NA	NA
ENSG00000010017	RANBP9	protein_coding	27	9	18	0	1	2	54	0.090301003	NA	NA	NA	0	NA	NA
ENSG00000010030	ETV7	protein_coding	1	1	0	2	1	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000010256	UQCRC1	protein_coding	2	1	1	1	2	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000010278	CD9	protein_coding	17	6	11	2	2	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000010295	IFFO1	protein_coding	3	2	1	2	1	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000010322	NISCH	protein_coding	3	1	2	2	2	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000010610	CD4	protein_coding	35	13	22	2	2	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000010626	LRRC23	protein_coding	1	0	1	2	0	1	1	0.001672241	18.6677963	0.072	0.44136	0	Risk	0
ENSG00000010671	BTK	protein_coding	70	7	63	0	1	2	140	0.234113712	NA	NA	NA	0	NA	NA
ENSG00000010704	HFE	protein_coding	2	1	1	1	2	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000010803	SCMH1	protein_coding	10	4	6	2	2	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000010810	FYN	protein_coding	153	63	90	0	1	2	306	0.511705686	NA	NA	NA	0	NA	NA
ENSG00000010818	HIVEP2	protein_coding	1	1	0	2	1	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000011009	LYPLA2	protein_coding	2	1	1	2	1	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000011132	APBA3	protein_coding	2	1	1	2	2	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000011243	AKAP8L	protein_coding	7	2	5	2	2	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000011275	RNF216	protein_coding	9	4	5	2	2	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000011295	TTC19	protein_coding	3	2	1	1	2	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000011304	PTBP1	protein_coding	10	5	5	0	1	2	20	0.033444816	NA	NA	NA	0	NA	NA
ENSG00000011332	DPF1	protein_coding	1	1	0	2	1	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000011347	SYT7	protein_coding	7	1	6	2	2	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000011376	LARS2	protein_coding	NA	NA	NA	NA	NA	NA	0	NA	3.872936593	0.846	0.96176	0	Risk	0
ENSG00000011422	PLAUR	protein_coding	16	4	12	0	1	2	32	0.053511706	NA	NA	NA	0	NA	NA
ENSG00000011451	WIZ	protein_coding	15	13	2	2	1	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000011465	DCN	protein_coding	22	11	11	0	1	2	44	0.073578595	NA	NA	NA	0	NA	NA
ENSG00000011485	PPP5C	protein_coding	16	3	13	2	2	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000011590	ZBTB32	protein_coding	7	6	1	2	1	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000011600	TYROBP	protein_coding	11	8	3	0	1	2	22	0.036789298	NA	NA	NA	0	NA	NA
ENSG00000012048	BRCA1	protein_coding	111	44	67	0	1	2	222	0.371237458	NA	NA	NA	0	NA	NA
ENSG00000012124	CD22	protein_coding	15	8	7	2	2	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000012223	LTF	protein_coding	5	4	1	2	1	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000012504	NR1H4	protein_coding	11	7	4	1	2	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000012822	CALCOCO1	protein_coding	11	6	5	0	1	2	22	0.036789298	NA	NA	NA	0	NA	NA
ENSG00000012983	MAP4K5	protein_coding	9	8	1	2	1	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000013297	CLDN11	protein_coding	2	2	0	2	1	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000013364	MVP	protein_coding	4	1	3	1	2	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000013441	CLK1	protein_coding	8	6	2	2	1	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000013561	RNF14	protein_coding	6	4	2	1	2	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000013573	DDX11	protein_coding	2	1	1	1	2	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000013725	CD6	protein_coding	2	1	1	1	2	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000013810	TACC3	protein_coding	3	2	1	1	2	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000014138	POLA2	protein_coding	28	9	19	0	1	2	56	0.093645485	NA	NA	NA	0	NA	NA
ENSG00000014164	ZC3H3	protein_coding	NA	NA	NA	NA	NA	NA	0	NA	19.59877276	0.066	0.43224	0	Risk	0
ENSG00000014216	CAPN1	protein_coding	33	12	21	0	1	2	66	0.110367893	NA	NA	NA	0	NA	NA
ENSG00000014641	MDH1	protein_coding	2	1	1	2	1	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000015133	CCDC88C	protein_coding	2	1	1	1	2	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000015153	YAF2	protein_coding	12	8	4	0	1	2	24	0.040133779	NA	NA	NA	0	NA	NA
ENSG00000015171	ZMYND11	protein_coding	8	5	3	1	2	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000015285	WAS	protein_coding	36	19	17	0	1	2	72	0.120401338	NA	NA	NA	0	NA	NA
ENSG00000015475	BID	protein_coding	31	16	15	2	1	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000015479	MATR3	protein_coding	7	1	6	1	2	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000015568	RGPD5	protein_coding	3	2	1	1	2	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000016082	ISL1	protein_coding	10	4	6	0	1	2	20	0.033444816	NA	NA	NA	0	NA	NA
ENSG00000017427	IGF1	protein_coding	12	9	3	0	1	2	24	0.040133779	NA	NA	NA	0	NA	NA
ENSG00000017797	RALBP1	protein_coding	12	6	6	0	1	2	24	0.040133779	NA	NA	NA	0	NA	NA
ENSG00000018189	RUFY3	protein_coding	1	1	0	1	2	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000018236	CNTN1	protein_coding	11	7	4	0	1	2	22	0.036789298	NA	NA	NA	0	NA	NA
ENSG00000018408	WWTR1	protein_coding	7	3	4	0	1	2	14	0.023411371	NA	NA	NA	0	NA	NA
ENSG00000018699	TTC27	protein_coding	2	1	1	1	2	0	0	0	-5.023083165	0.434	0.81896	0	Preventive	0
ENSG00000019582	CD74	protein_coding	5	3	2	1	2	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000019991	HGF	protein_coding	9	5	4	2	2	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000020129	NCDN	protein_coding	2	1	1	2	1	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000020256	ZFP64	protein_coding	8	6	2	2	1	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000020426	MNAT1	protein_coding	24	16	8	0	1	2	48	0.080267559	NA	NA	NA	0	NA	NA
ENSG00000020633	RUNX3	protein_coding	16	10	6	2	1	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000021300	PLEKHB1	protein_coding	5	2	3	1	2	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000021488	SLC7A9	protein_coding	NA	NA	NA	NA	NA	NA	0	NA	1.315753871	0.97	0.99875	0	Risk	0
ENSG00000021645	NRXN3	protein_coding	3	0	3	2	0	1	3	0.005016722	NA	NA	NA	0	NA	NA
ENSG00000022267	FHL1	protein_coding	23	15	8	0	1	2	46	0.076923077	NA	NA	NA	0	NA	NA
ENSG00000022355	GABRA1	protein_coding	4	1	3	2	2	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000022556	NLRP2	protein_coding	NA	NA	NA	NA	NA	NA	0	NA	-35.48412049	0.627	0.89868	0	Preventive	0
ENSG00000022840	RNF10	protein_coding	11	8	3	2	1	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000023228	NDUFS1	protein_coding	NA	NA	NA	NA	NA	NA	0	NA	-2.181287634	0.932	0.99221	0	Preventive	0
ENSG00000023287	RB1CC1	protein_coding	2	1	1	1	2	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000023330	ALAS1	protein_coding	8	3	5	1	2	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000023445	BIRC3	protein_coding	9	3	6	2	2	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000023516	AKAP11	protein_coding	4	2	2	1	2	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000023608	SNAPC1	protein_coding	4	3	1	2	2	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000023734	STRAP	protein_coding	13	6	7	2	2	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000023839	ABCC2	protein_coding	3	1	2	2	2	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000023892	DEF6	protein_coding	7	3	4	2	2	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000023902	PLEKHO1	protein_coding	3	1	2	1	2	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000024422	EHD2	protein_coding	3	2	1	1	2	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000025156	HSF2	protein_coding	8	7	1	2	1	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000025434	NR1H3	protein_coding	22	19	3	2	1	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000025772	TOMM34	protein_coding	1	1	0	1	2	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000025800	KPNA6	protein_coding	8	5	3	2	1	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000026025	VIM	protein_coding	124	67	57	0	1	2	248	0.414715719	NA	NA	NA	0	NA	NA
ENSG00000026103	FAS	protein_coding	32	5	27	0	1	2	64	0.107023411	NA	NA	NA	0	NA	NA
ENSG00000026508	CD44	protein_coding	36	13	23	0	1	2	72	0.120401338	NA	NA	NA	0	NA	NA
ENSG00000026950	BTN3A1	protein_coding	NA	NA	NA	NA	NA	NA	0	NA	-4.817862069	0	0	4.817862069	Preventive	0.140798224
ENSG00000027001	MIPEP	protein_coding	2	1	1	1	2	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000027075	PRKCH	protein_coding	6	3	3	2	2	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000027644	INSRR	protein_coding	2	0	2	2	0	1	2	0.003344482	NA	NA	NA	0	NA	NA
ENSG00000027697	IFNGR1	protein_coding	9	0	9	2	0	1	9	0.015050167	NA	NA	NA	0	NA	NA
ENSG00000027869	SH2D2A	protein_coding	4	2	2	1	2	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000028137	TNFRSF1B	protein_coding	14	0	14	2	0	1	14	0.023411371	NA	NA	NA	0	NA	NA
ENSG00000028277	POU2F2	protein_coding	8	5	3	2	1	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000028528	SNX1	protein_coding	14	7	7	0	1	2	28	0.046822742	NA	NA	NA	0	NA	NA
ENSG00000028839	TBPL1	protein_coding	14	11	3	2	1	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000029363	BCLAF1	protein_coding	5	5	0	2	1	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000029534	ANK1	protein_coding	12	2	10	2	2	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000029639	TFB1M	protein_coding	1	1	0	2	1	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000029725	RABEP1	protein_coding	11	5	6	1	2	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000030110	BAK1	protein_coding	12	9	3	2	1	0	0	0	-13.08487665	0.009	0.19519	0	Preventive	0
ENSG00000030304	MUSK	protein_coding	3	0	3	2	0	1	3	0.005016722	NA	NA	NA	0	NA	NA
ENSG00000030419	IKZF2	protein_coding	3	3	0	2	1	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000030582	GRN	protein_coding	13	7	6	2	1	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000031691	CENPQ	protein_coding	NA	NA	NA	NA	NA	NA	0	NA	-10.97640451	0.085	0.46389	0	Preventive	0
ENSG00000032219	ARID4A	protein_coding	3	1	2	1	2	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000033122	LRRC7	protein_coding	4	2	2	1	2	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000033327	GAB2	protein_coding	29	18	11	2	2	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000033800	PIAS1	protein_coding	48	21	27	0	1	2	96	0.160535117	NA	NA	NA	0	NA	NA
ENSG00000033867	SLC4A7	protein_coding	2	1	1	1	2	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000034152	MAP2K3	protein_coding	12	9	3	2	1	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000034239	EFCAB1	protein_coding	NA	NA	NA	NA	NA	NA	0	NA	8.82733617	0.914	0.99015	0	Risk	0
ENSG00000034677	RNF19A	protein_coding	15	4	11	0	1	2	30	0.050167224	NA	NA	NA	0	NA	NA
ENSG00000034713	GABARAPL2	protein_coding	21	17	4	0	1	2	42	0.070234114	NA	NA	NA	0	NA	NA
ENSG00000034971	MYOC	protein_coding	30	8	22	0	1	2	60	0.100334448	NA	NA	NA	0	NA	NA
ENSG00000035403	VCL	protein_coding	81	39	42	0	1	2	162	0.27090301	NA	NA	NA	0	NA	NA
ENSG00000035664	DAPK2	protein_coding	2	1	1	1	2	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000035681	NSMAF	protein_coding	3	1	2	1	2	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000035720	STAP1	protein_coding	5	3	2	2	2	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000035862	TIMP2	protein_coding	2	2	0	1	2	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000035928	RFC1	protein_coding	18	13	5	0	1	2	36	0.060200669	NA	NA	NA	0	NA	NA
ENSG00000036257	CUL3	protein_coding	8	6	2	2	1	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000036672	USP2	protein_coding	8	5	3	2	1	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000036828	CASR	protein_coding	6	0	6	2	0	1	6	0.010033445	NA	NA	NA	0	NA	NA
ENSG00000037042	TUBG2	protein_coding	2	1	1	2	2	0	0	0	-0.830530314	0.802	0.94854	0	Preventive	0
ENSG00000037280	FLT4	protein_coding	9	2	7	2	2	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000037897	METTL1	protein_coding	2	1	1	1	2	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000037965	HOXC8	protein_coding	10	7	3	2	1	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000038002	AGA	protein_coding	NA	NA	NA	NA	NA	NA	0	NA	254.2942774	0.669	0.90599	0	Risk	0
ENSG00000038210	PI4K2B	protein_coding	2	1	1	2	2	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000038382	TRIO	protein_coding	5	3	2	2	2	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000038427	VCAN	protein_coding	18	6	12	0	1	2	36	0.060200669	NA	NA	NA	0	NA	NA
ENSG00000039068	CDH1	protein_coding	27	7	20	2	2	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000039537	C6	protein_coding	3	2	1	2	2	0	0	0	-2.062360721	0.406	0.80717	0	Preventive	0
ENSG00000039560	RAI14	protein_coding	6	3	3	1	2	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000039600	SOX30	protein_coding	3	2	1	1	2	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000039650	PNKP	protein_coding	7	4	3	0	1	2	14	0.023411371	NA	NA	NA	0	NA	NA
ENSG00000040608	RTN4R	protein_coding	5	0	5	2	0	1	5	0.008361204	NA	NA	NA	0	NA	NA
ENSG00000040633	PHF23	protein_coding	2	1	1	1	2	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000040731	CDH10	protein_coding	2	1	1	1	2	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000040933	INPP4A	protein_coding	5	2	3	1	2	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000041357	PSMA4	protein_coding	6	3	3	0	1	2	12	0.02006689	NA	NA	NA	0	NA	NA
ENSG00000041515	MYO16	protein_coding	3	1	2	1	2	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000041802	LSG1	protein_coding	NA	NA	NA	NA	NA	NA	0	NA	-69.6470122	0.61	0.89438	0	Preventive	0
ENSG00000041982	TNC	protein_coding	7	2	5	2	2	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000042429	MED17	protein_coding	6	3	3	2	1	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000042781	USH2A	protein_coding	2	1	1	1	2	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000042832	TG	protein_coding	9	2	7	2	2	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000043039	BARX2	protein_coding	1	1	0	1	2	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000043093	DCUN1D1	protein_coding	5	4	1	1	2	0	0	0	NA	NA	NA	0	NA	NA
ENSG00000043355	ZIC2	protein_coding	3	3	0	2	1	0	0	0	NA	NA	NA	0	NA	NA
